song_title,singer,film,year,emotion,keywords
Pyar Diwana Hota Hai,Kishore Kumar,Kati Patang,1971,romantic,love is crazy beautiful feelings romance
Ek Pyaar Ka Nagma Hai Romantic,Mukesh,Shor,1972,romantic,love song beautiful feelings romance calm
Ek Villain Title,Arijit Singh,Ek Villain,2014,angry,villain dark intense fierce angry
Rocky Handsome Theme,Various,Rocky Handsome,2016,angry,rocky fighter intense fierce angry power
Warrior Theme,Various,War,2019,angry,warrior fight power intense fierce strong
Hera Pheri Theme,Various,Hera Pheri,2000,angry,con scheme intense power fight
Munna Bhai Theme,Various,Munna Bhai MBBS,2003,angry,street smart power fight intense
Wanted Theme,Various,Wanted,2009,angry,wanted outlaw fierce power intense fight
Dabangg Theme,Sajid Wajid,Dabangg,2010,angry,fearless police power intense strong fight
Dabbang Hero,Various,Dabangg,2010,angry,hero power fight fearless intense strong
Gangs Of Wasseypur Theme,Various,Gangs of Wasseypur,2012,angry,gang revenge power intense fight fierce
Mirzapur Theme,Various,Mirzapur,2018,angry,territory power fight intense fierce strong
Sacred Games Theme,Various,Sacred Games,2018,angry,dark power intense fierce urban angry
Paan Singh Tomar,Various,Paan Singh Tomar,2012,angry,rebel outlaw fierce intense power strong
Bandit Queen Theme,Various,Bandit Queen,1994,angry,rebel woman fierce power fight intense
Sarkar Theme,Various,Sarkar,2005,angry,power rule fierce intense dominant strong
Talaash Theme,Sonu Nigam,Talaash,2012,angry,search dark intense power brooding angry
Bard Of Blood,Various,Bard of Blood,2019,angry,dark spy intense fierce power strong
Shootout Theme,Various,Shootout at Lokhandwala,2007,angry,shootout intense fierce fight power
Mumbai Meri Jaan Theme,Various,Mumbai Meri Jaan,2008,angry,city struggle intense fierce power angry
Black Theme,Various,Black,2005,angry,dark struggle intense fierce overcome power
1920 Horror Theme,Various,1920,2008,angry,dark intense horror fierce power angry
Raat Ka Nasha,Udit Narayan,Asoka,2001,relaxed,night intoxication calm serene gentle
Hawa Hawa,Shafqat Amanat Ali,Meri Pyaari Bindu,2017,relaxed,breeze calm light gentle serene peaceful
Tum Ho,Mohit Chauhan,Rockstar,2011,relaxed,you are calm love gentle serene peaceful
Jee Le Zaraa,Various,Talaash,2012,relaxed,live a little calm gentle serene peaceful
Sajdaa,Various,My Name Is Khan,2010,relaxed,prostration faith calm gentle serene spiritual
Khwaja Mere Khwaja,AR Rahman,Jodhaa Akbar,2008,relaxed,sufi devotion calm spiritual serene gentle
Arziyan,Javed Ali,Delhi 6,2009,relaxed,prayers devotion calm spiritual serene gentle
Tu Kuja,Various,Haider,2014,relaxed,where you calm spiritual serene gentle peaceful
Kun Faya Kun,AR Rahman,Rockstar,2011,relaxed,be and it is sufi calm spiritual serene
Dama Dam Mast Qalandar,Abida Parveen,Album,1998,relaxed,sufi ecstasy calm devotion spiritual serene
Allah Ke Bande,Kailash Kher,Waisa Bhi Hota Hai Part 2,2003,relaxed,god devotee calm spiritual serene gentle
Ya Ali,Zubeen Garg,Gangster,2006,relaxed,ya ali devotion calm spiritual serene gentle
Teri Deewani Relax,Kailash Kher,Album,2006,relaxed,devotion calm gentle spiritual serene peaceful
Man Laage,Various,Bajrangi Bhaijaan,2015,relaxed,mind absorbed calm devotion spiritual serene
Bhar Do Jholi Relax,Adnan Sami,Bajrangi Bhaijaan,2015,relaxed,fill devotion calm spiritual serene gentle
Ek Onkar,AR Rahman,Rang De Basanti,2006,relaxed,one god calm spiritual serene gentle devotion
Raghupati Raghava,Various,Classic,1930,relaxed,god Ram calm devotion spiritual serene gentle
Om Jai Jagdish,Various,Classic,1948,relaxed,praise god calm devotion spiritual serene gentle
Vaishnav Jan To,Various,Classic,1934,relaxed,Vaishnava person calm devotion spiritual serene
Ae Malik Tere Bande Hum,Various,Do Ankhen Barah Haath,1957,relaxed,god people calm devotion spiritual serene
Itni Shakti Hame Dena,Various,Ankush,1986,relaxed,give strength god calm devotion spiritual serene
Payoji Maine,Various,Album,1996,relaxed,found god calm devotion spiritual serene
Hari Om Hari,Usha Uthup,Pyaara Dushman,1980,relaxed,god chant calm devotion spiritual serene
Chalo Bulawa Aaya Hai,Pushpa Pagdhare,Avtaar,1983,relaxed,come called god calm devotion spiritual serene
Jyot Se Jyot,Various,Sant Tukaram,1963,relaxed,light from light calm devotion spiritual serene
Sankat Mochan,Various,Classic,1977,relaxed,remover of problems calm devotion spiritual serene
Mohe Rang De,Shreya Ghoshal,Bajirao Mastani,2015,relaxed,color me love calm gentle serene devotion
Aaj Jaane Ki Zid Na Karo,Farida Khanum,Album,1994,relaxed,stay request love calm gentle serene
Yeh Jo Mohabbat Hai Relax,Kishore Kumar,Kati Patang,1971,relaxed,this love calm gentle serene peaceful
Dum Dum,Various,Band Baaja Baaraat,2010,relaxed,breath by breath love calm gentle serene
Chaudhary,Mame Khan,Coke Studio,2015,relaxed,folk calm gentle serene earthly peaceful
Mand,Various,Coke Studio,2016,relaxed,folk melancholic calm serene gentle peaceful
Afreen Afreen,Rahat Fateh Ali Khan,Coke Studio,2016,relaxed,blessed beautiful calm gentle serene peaceful
Tajdar E Haram,Atif Aslam,Coke Studio,2015,relaxed,king sanctuary calm devotion spiritual serene
Paiyya,Various,Enthiran,2010,happy,fast fun energetic dance celebration happy
Rowdy Baby,Various,Maari 2,2018,happy,fun energetic dance celebration happy cheerful
Kannaana Kanney,Various,Viswasam,2019,sad,child love pain emotional gentle sad
Nee Himdhu Nee Himdhu,Various,Album,2019,happy,fun celebration energetic dance happy
Whistle Podu,Various,IPL Anthem,2023,happy,celebration cricket fun energetic happy
Khalibali,Shivam Pathak,Padmaavat,2018,angry,crazy intense fierce power angry strong
Dum Laga Ke Haisha,Various,Dum Laga Ke Haisha,2015,happy,effort love acceptance fun cheerful happy
Love Aaj Kal Title,Arijit Singh,Love Aaj Kal,2020,romantic,love today yesterday beautiful feelings romance
Shayad,Arijit Singh,Love Aaj Kal,2020,romantic,maybe love uncertain beautiful feelings romance
Haan Main Galat,Arijit Singh,Love Aaj Kal,2020,romantic,yes I am wrong love beautiful feelings romance
Mehramaan,Arijit Singh,Shiddat,2021,romantic,intimate love beautiful deep feelings romance
Mann Bharryaa,B Praak,Shiddat,2021,sad,heart full love pain sad heartbreak
Ranjha,B Praak,Shiddat,2021,romantic,Ranjha love beautiful deep feelings romance
Tu Aake Dekhle,Various,Student of the Year 2,2019,happy,you come see fun energetic cheerful happy
Mumbai Saga Theme,Various,Mumbai Saga,2021,angry,city power intense fierce strong fight
Sooryavanshi Theme,Various,Sooryavanshi,2021,angry,sun dynasty power intense fierce fight
Rohit Ka Style,Various,Simmba,2018,happy,style fun confident cheerful happy energetic
Ranveer Ching Returns,Various,Ching,2015,happy,return fun energetic cheerful happy
Deva Deva,Arijit Singh,Brahmastra,2022,motivational,god believe achieve spiritual rise power
Rasiya,Various,Brahmastra,2022,romantic,beloved love beautiful yearning feelings romance
Akhiyaan Gulaab,Mitraz,Teri Baaton Mein Aisa Uljha Jiya,2024,romantic,eyes rose love beautiful gentle romance
Heeriye,Jasleen Royal,Mission Raniganj,2023,romantic,diamond love beautiful precious feelings romance
Naina,Darshan Raval,Do Aur Do Pyaar,2024,romantic,eyes love beautiful deep feelings romance
Zaroorat,Aarushi Sharma,Ek Villain,2014,sad,need love pain heartbreak sad longing
Tumhe Apna Banane Ki,Sonu Nigam,Hate Story 3,2015,romantic,make you mine love beautiful feelings romance
Hua Hain Aaj Pehli Baar,Salim Merchant,Sanam Re,2016,romantic,happened today first time love beautiful romance
Ve Maahi,Arijit Singh,Kesari,2019,romantic,beloved love beautiful Punjab feelings romance
Taaron Ke Shehar,Neha Kakkar,Album,2021,romantic,city of stars love beautiful feelings romance
Tum Kya Mile,Arijit Singh,Rocky Aur Rani Kii Prem Kahaani,2023,romantic,what I got in you love beautiful feelings romance
Dil Ko Karaar Aaya,Neha Kakkar,Album,2020,relaxed,heart settled calm peace gentle serene
Rula Deti Hai,Various,Various,2019,sad,makes me cry love pain sad heartbreak
Phir Na Milen,Various,Hate Story 4,2018,sad,may not meet again love pain sad heartbreak
Haaye Oye,Various,Manmarziyaan,2018,sad,oh my love pain heartbreak sad intense
Daryaa,Amit Trivedi,Manmarziyaan,2018,sad,river flowing love pain sad longing
Sacchi Mohabbat,Various,Manmarziyaan,2018,romantic,true love beautiful feelings pure romance
Chandaniya,Various,Ferrari Ki Sawaari,2012,happy,moonlight fun cheerful wedding happy dance
Nagada,Shreya Ghoshal,Goliyon Ki Raasleela,2013,happy,drum celebration dance fun energetic happy
Tatad Tatad,Sukhwinder Singh,Goliyon Ki Raasleela,2013,sad,yearning love pain heartbreak sad
Lahu Munh Lag Gaya,Various,Goliyon Ki Raasleela,2013,angry,blood taste intense fierce power angry
Ang Laga De,Rahat Fateh Ali Khan,Goliyon Ki Raasleela,2013,romantic,touch me love beautiful intense romance
Aankhon Mein Teri,KK,Om Shanti Om,2007,romantic,in your eyes love beautiful deep romance
Dard E Disco Remix,Various,Om Shanti Om,2007,happy,disco dard fun remix energetic dance happy
Dhoom Again,Various,Dhoom 2,2006,happy,again fun energetic dance exciting happy
Crazy Kiya Re,Sunidhi Chauhan,Dhoom 2,2006,happy,crazy energetic dance fun exciting happy
Khoya Khoya Chand,Shafqat Amanat Ali,Khoya Khoya Chand,2007,sad,lost moon love pain melancholy sad
Agar Main Kahoon,Sonu Nigam,Lakshya,2004,romantic,if I say love beautiful feelings romance
Pehle Pehle Pyaar Ki,Various,Hum Aapke Hain Koun,1994,romantic,first love innocent feelings sweet romance
Didi Teri Beti,Various,Hum Saath Saath Hain,1999,happy,sister daughter family fun cheerful happy
Sajan Mere Satrangna,Various,Hum Saath Saath Hain,1999,happy,husband family love fun cheerful happy
Maiyya Yashoda,Alka Yagnik,Hum Saath Saath Hain,1999,happy,mother yashoda family fun cheerful happy
Pehle Toh Kabhi,Various,Hum Saath Saath Hain,1999,happy,first time family love fun cheerful happy
Har Dil Jo Pyar Karega,Sonu Nigam,Har Dil Jo Pyaar Karega,2000,romantic,every heart love beautiful feelings romance
Tu Mile Dil Khile,Various,Har Dil Jo Pyaar Karega,2000,romantic,you found heart blooms love beautiful romance
Main Tere Kadmon Mein,Kumar Sanu,Kareeb,1998,romantic,at your feet love devotion beautiful romance
Do Dil Ek Jaan,Various,Kareeb,1998,romantic,two hearts one soul love beautiful romance
Chori Chori Chupke Chupke,Various,Chori Chori Chupke Chupke,2001,romantic,secretly stealthily love beautiful feelings romance
Doli Sajao Ke,Various,Hum Saath Saath Hain,1999,happy,palanquin decorated wedding celebration family happy
Yeh Wada Raha,Various,Yeh Vaada Raha,1982,romantic,this promise love devotion beautiful romance
Nasha Ye Pyar Ka Nasha Hai,Udit Narayan,Pardes,1997,romantic,intoxication love beautiful feelings romance
I Love My India,Various,Pardes,1997,motivational,love India nation pride achieve rise
Yeh Zindagi Usi Ki Hai,Lata Mangeshkar,Anarkali,1953,sad,life belongs to him love pain sacrifice sad
Barsaat,Various,Barsaat,1949,romantic,rain love beautiful classic feelings romance
Aawara Hoon,Mukesh,Awaara,1951,happy,wanderer free fun carefree happy cheerful
Mera Joota Hai Japani,Mukesh,Awaara,1955,happy,shoes Japanese fun cheerful playful happy
Ghar Aaya Mera Pardesi,Lata Mangeshkar,Awaara,1951,happy,home came my stranger joy reunion happy
Ek Do Teen Char,Various,Taxi Number 9 2 11,2006,happy,one two three four fun counting cheerful happy
Ooh La La,Usha Uthup,The Dirty Picture,2011,happy,fun bold energetic sexy cheerful happy
Fevicol Se,Shreya Ghoshal,Dabangg 2,2012,happy,glue stuck fun energetic bold happy
Jhilmil,Various,Barfi,2012,happy,glimmer fun innocent joy cheerful happy
Aashiqui 2 Title,Arijit Singh,Aashiqui 2,2013,romantic,love story beautiful feelings deep romance
Chahun Main Ya Naa,Arijit Singh,Aashiqui 2,2013,romantic,want or not love beautiful uncertain romance
Galliyan,Ankit Tiwari,Ek Villain,2014,sad,lanes love pain heartbreak sad longing
Baarish,Various,Yaariyan,2014,romantic,rain love beautiful feelings romance
Pee Loon,Various,Once Upon A Time In Mumbai,2010,romantic,drink love intoxicated beautiful feelings romance
Tere Liye Hum,Various,Prince,2010,romantic,for you love beautiful feelings romance
Kahe Diya Pardes,Kavita Krishnamurthy,Subah,1982,sad,why left abroad love pain separation sad
Ae Zindagi Gale Laga Le,Suresh Wadkar,Sadma,1983,sad,oh life embrace love pain emotional sad
Tere Bina Bhi Kya Jeena,Udit Narayan,Aashiq,2001,sad,without you no living love pain sad
Bedardi Se Pyaar Ka,Udit Narayan,Judaai,1997,sad,heartless love pain sadness heartbreak
Babuji Dheere Chalna,Geeta Dutt,Aar Paar,1954,happy,careful steps fun flirt cheerful happy playful
Meri Jaan,Geeta Dutt,Baazi,1951,romantic,my life love beautiful devotion romance
Waqt Karta Jo Wafa,Various,Kajl,1956,sad,if time was loyal love pain sad longing
Tujhe Yaad Na Meri Aayi,Udit Narayan,Kuch Kuch Hota Hai,1998,sad,you forgot me love pain heartbreak sad
Ladki Badi Anjani Hai,Kumar Sanu,Kuch Kuch Hota Hai,1998,happy,mysterious girl love fun cheerful happy
Yeh Ladka Hai Allah,Udit Narayan,Kabhi Khushi Kabhi Gham,2001,happy,this boy oh god fun cheerful happy
Bole Chudiyan Reprise,Various,Kabhi Khushi Kabhi Gham,2001,happy,bangles reprise wedding fun cheerful happy
Shava Shava,Various,Kabhi Khushi Kabhi Gham,2001,happy,celebration fun family cheerful dance happy
Hum Hain Is Pal Yahan,Various,Kisna,2005,happy,we are here now fun present cheerful happy
Chalte Chalte,Udit Narayan,Chalte Chalte,2003,romantic,walking along love beautiful journey romance
Main Tera Dushman,Various,Nagina,1986,angry,your enemy intense fierce power angry
Jaadu Tona,Various,Nagina,1986,angry,magic spell intense fierce power angry
Hum Saath Saath Hain Theme,Various,Hum Saath Saath Hain,1999,happy,together always family love cheerful happy
Aisi Deewangi,Udit Narayan,Deewana,1992,romantic,such craziness love beautiful feelings romance
Sochenge Tumhe Pyaar,Various,Deewana,1992,sad,will think love to you pain separation sad
Aaja Mahi,Various,Yeh Dil Aashiqanaa,2002,romantic,come beloved love beautiful yearning romance
Teri Khwahish,Various,No Entry,2005,romantic,your desire love beautiful feelings romance
Pehchaan,Various,Various,2006,motivational,identity discover self achieve rise
Hum Tumhare Hain Sanam,Sonu Nigam,Hum Tumhare Hain Sanam,2002,romantic,yours my love beautiful devotion romance
Mera Dil,Various,Various,2005,romantic,my heart love beautiful feelings yearning romance
Tumne Dil Ko Dil Se Milaya,Various,Taarzan,2004,romantic,hearts met love beautiful connection romance
Sawariya Title,Ranbir Kapoor,Saawariya,2007,sad,beloved love pain yearning sad longing
Jab Se Tere Naina Sad,Udit Narayan,Saawariya,2007,sad,eyes love pain longing sad heartbreak
O Saathi Sad,Atif Aslam,Baaghi 2,2018,sad,companion love pain loss sad heartbreak
Theher Ja,Various,October,2018,sad,stop love pain emotional sad heartbreak
Parchhaiyaan,Jubin Nautiyal,Genius,2018,sad,shadows love pain longing sad
Bol Do Na Zara Sad,Armaan Malik,Azhar,2016,sad,speak up love pain heartbreak sad
Teri Khair Mangdi,Bilal Saeed,Baar Baar Dekho,2016,romantic,your wellbeing love beautiful gentle romance
Sau Aasman,Shekhar Ravjiani,Baar Baar Dekho,2016,romantic,hundred skies love beautiful limitless romance
Kala Sha Kala,Various,Bawaal,2023,happy,black color fun energetic dance cheerful happy
Jhoome Jo Pathaan,Arijit Singh,Pathaan,2023,happy,dance Pathaan fun energetic celebration happy
Besharam Rang,Shilpa Rao,Pathaan,2023,happy,shameless color fun bold energetic happy
Arjan Vailly,Bhupinder Babbal,Animal,2023,angry,fierce raw power intense fight strong angry
Hua Main,Shreya Ghoshal,Animal,2023,romantic,I became love beautiful deep feelings romance
Satranga,Arijit Singh,Animal,2023,romantic,seven colors love beautiful deep feelings romance
Papa Meri Jaan,Various,Animal,2023,sad,father love pain emotional sad
Jab Se Aaye Ho,Various,Tu Jhoothi Main Makkaar,2023,romantic,since you came love beautiful feelings romance
Tere Pyaar Mein,Arijit Singh,Tu Jhoothi Main Makkaar,2023,romantic,in your love beautiful immersed feelings romance
Mast Malang,Various,Bade Miyan Chote Miyan,2024,happy,carefree fun energetic dance celebration happy
Har Har Mahadev,Various,Oh My God 2,2023,motivational,Shiva devotion believe achieve spiritual rise
Naina,Various,Crew,2024,happy,eyes fun playful energetic cheerful happy dance
Chaleya,Arijit Singh,Jawan,2023,romantic,moving forward love beautiful feelings journey romance
Zinda Banda,Vishal Dadlani,Jawan,2023,motivational,alive rise achieve energetic strong power
Not Ramaiya Vastavaiya,Vishal Dadlani,Jawan,2023,angry,not that fierce power intense fight strong
Pyaar Hota Kayi Baar Hai,Arijit Singh,Rocky Aur Rani Kii Prem Kahaani,2023,romantic,love happens many times beautiful feelings romance
Viah,Various,Rocky Aur Rani Kii Prem Kahaani,2023,happy,wedding celebration fun dance festive happy
What Jhumka,Shreya Ghoshal,Rocky Aur Rani Kii Prem Kahaani,2023,happy,what earring fun flirt cheerful happy
Doobey,Arijit Singh,Gehraiyaan,2022,romantic,drowned love deep feelings beautiful romance
Gehraiyaan Title,OAFF,Gehraiyaan,2022,sad,depths love pain heartbreak sad longing
Aashiqui Aa Gayi,Arijit Singh,Radhe Shyam,2022,romantic,love arrived beautiful feelings romance dream
Tera Hone Laga Hoon,Atif Aslam,Ajab Prem Ki Ghazab Kahani,2009,romantic,becoming yours love beautiful feelings romance
Do You Know,Various,Housefull 3,2016,happy,fun question party energetic cheerful happy
Gallan Goodiyaan Club,Various,Dil Dhadakne Do,2015,happy,club version celebration fun energetic happy
Ishq Wala Love Full,Various,Student of the Year,2012,romantic,love school pure beautiful feelings romance
Radha Teri Chunari,Various,Student of the Year,2012,happy,Radha chunari fun cheerful energetic happy
Disco Deewane,Various,Student of the Year,2012,happy,disco crazy fun energetic dance happy
Tujhse Milke,Shreya Ghoshal,Main Hoon Na,2004,romantic,meeting you love beautiful pure feelings romance
Chand Taare,Various,Yes Boss,1997,romantic,moon stars love beautiful yearning romance
Oh Oh Jane Jaana,Various,Pyaar Kiya To Darna Kya,1998,happy,oh beloved fun flirt cheerful happy
Aate Jaate,Various,Maine Pyaar Kyun Kiya,2005,happy,coming going fun cheerful energetic happy
Meri Neend,Udit Narayan,Chaahat,1996,sad,my sleep love pain missing sad
Sandese Aate Hain Reprise,Various,Border,1997,sad,messages missing home nation sad pain
Ghar Aaja Pardesi,Lata Mangeshkar,DDLJ,1995,sad,come home stranger missing love sad pain
Tu Har Lamha,Arijit Singh,Khamoshiyan,2015,romantic,you every moment love beautiful forever romance
Bheeg Loon,Various,Khamoshiyan,2015,romantic,get wet rain love beautiful feelings romance
Aaj Phir Tumpe,Arijit Singh,Hate Story 2,2014,romantic,today again on you love beautiful intensity romance
Wajah Tum Ho,Armaan Malik,Hate Story 3,2015,romantic,reason you are love beautiful feelings romance
Main Rang Sharbaton Ka,Arijit Singh,Phata Poster Nikhla Hero,2013,romantic,color sherbets love beautiful feelings romance
Tu Hi Toh Hai,Benny Dayal,Jo Jeeta Wohi Sikandar,2013,romantic,only you are love beautiful feelings romance
Dil Ibadat,KK,Tum Mile,2009,romantic,heart worship love beautiful devotion romance
Tum Mile Sad,Neeraj Shridhar,Tum Mile,2009,sad,you met love pain rain sad heartbreak
Sun Le Zara,Various,Shuddh Desi Romance,2013,romantic,listen please love beautiful feelings romance
Tere Mere,Various,Chef,2017,sad,yours mine love pain separation sad
Sun Saathiya,Various,ABCD 2,2015,happy,listen companion dance fun cheerful happy
Bezubaan Phir Se,Various,ABCD 2,2015,motivational,wordless again rise dance achieve dream
Muqabala Dance,Various,Street Dancer,2020,motivational,competition dance rise achieve energy power
Illegal Weapon,Various,Street Dancer,2020,happy,fun bold dance energetic cheerful happy
Garmi,Various,Street Dancer,2020,happy,heat fun party energetic dance cheerful happy
Bhula Dunga,Sidharth Shukla,Album,2020,sad,will forget love pain heartbreak sad
Shayad Relax,Arijit Singh,Love Aaj Kal,2020,relaxed,maybe calm uncertain gentle serene peaceful
Dil Bechara Title,AR Rahman,Dil Bechara,2020,sad,helpless heart cancer love pain sad
Taare Ginn,Various,Dil Bechara,2020,sad,count stars cancer love pain emotional sad
Khulke Jeena Dil Bechara,Various,Dil Bechara,2020,happy,live fully cancer life joy happy celebrate
Aur Pyaar Hota Hai,Various,Various,2021,romantic,more love happens beautiful feelings romance
Mann Kunto Maula,Various,Bajrangi Bhaijaan,2015,relaxed,whoever is master calm spiritual devotion serene
Teri Mitti Reprise,B Praak,Kesari,2019,sad,soil nation sacrifice loss pain sad
Tenu Suit Suit,Various,Hindi Medium,2017,happy,you suit fun compliment cheerful happy
Bom Diggy,Various,Sonu Ke Titu Ki Sweety,2018,happy,fun energetic dance party cheerful happy
Tera Yaar Hoon Main,Arijit Singh,Sonu Ke Titu Ki Sweety,2018,happy,your friend I am friendship love happy
Tu Sooraj Main Saanjh,Various,Prem Ratan Dhan Payo,2015,romantic,you sun evening love beautiful balance romance
Jalte Diye,Various,Prem Ratan Dhan Payo,2015,romantic,lit lamps love beautiful feelings romance
Prem Ratan Dhan Payo,Palak Muchhal,Prem Ratan Dhan Payo,2015,happy,love jewel found fun celebration happy
Aaj Unse Milna Hai,Various,Prem Ratan Dhan Payo,2015,happy,today meeting fun anticipation cheerful happy
Hawa Badlo,Various,Prem Ratan Dhan Payo,2015,motivational,change wind rise achieve new beginning
Pahle Ishq,Various,Jab Tak Hai Jaan,2012,romantic,first love beautiful feelings pure romance
Jiya Re,Shilpa Rao,Jab Tak Hai Jaan,2012,happy,heart life joy happy celebration fun
Saans,Various,Jab Tak Hai Jaan,2012,romantic,breath love beautiful deep feelings romance
Ishq Shava,Various,Jab Tak Hai Jaan,2012,happy,love spirit fun energetic cheerful happy dance
Next Level,Various,Student of the Year 2,2019,motivational,next level rise achieve goal power strong
Mumbai Dilli Di Kudiyaan,Various,Student of the Year 2,2019,happy,Mumbai Delhi girls fun energetic cheerful happy
The Jawaani Song,Various,Student of the Year 2,2019,happy,youth song fun energetic cheerful happy dance
Hook Up Song,Various,Student of the Year 2,2019,happy,fun connect party energetic cheerful happy
Dil Na Jaaneya,Various,Good Newwz,2019,sad,heart not knowing love pain heartbreak sad
Chandigarh Mein,Various,Good Newwz,2019,happy,Chandigarh fun celebration cheerful happy
Chandigarh Kare Aashiqui,Various,Chandigarh Kare Aashiqui,2021,romantic,Chandigarh love beautiful modern feelings romance
Tere Vich Rab Disda,Various,Rab Ne Bana Di Jodi,2008,romantic,god in you love beautiful divine romance
Dance Pe Chance,Sunidhi Chauhan,Rab Ne Bana Di Jodi,2008,happy,chance to dance fun cheerful energetic happy
Haule Haule,Various,Rab Ne Bana Di Jodi,2008,romantic,slowly slowly love beautiful gentle feelings romance
Phir Milenge Chalte Chalte,Shaan,Rab Ne Bana Di Jodi,2008,happy,meet again walking fun love cheerful happy
Tu Meri,AR Rahman,Bang Bang,2014,romantic,you mine love beautiful feelings devotion romance
Meherbaan,Various,Bang Bang,2014,romantic,merciful kind love beautiful feelings romance
Massalam,Various,Bang Bang,2014,happy,spicy fun energetic dance cheerful happy
Bollywood Classics Medley,Various,Various,1970,happy,classic hits fun nostalgic cheerful happy
Golden Era Songs,Various,Various,1960,relaxed,golden era calm gentle nostalgic serene peaceful
Old Is Gold,Various,Various,1950,relaxed,timeless calm gentle nostalgic serene peaceful
Purani Jeans,Ali Haider,Mast,1999,relaxed,old jeans memories calm gentle nostalgic serene
Bachpan Ka Pyaar,Sahdev Dirdo,Album,2021,happy,childhood love innocent fun cheerful happy
Teri Kami,Bilal Saeed,Album,2016,sad,your absence love pain missing sad heartbreak
Jadu Ki Jhappi,Various,Munna Bhai MBBS,2003,happy,magic hug fun warmth cheerful happy healing
Yeh Jo Halka Halka Suroor Hai,Nusrat Fateh Ali Khan,Aur Pyaar Ho Gaya,1997,relaxed,slight intoxication love calm gentle serene
Afsos Karoge,Various,Various,2018,sad,regret will love pain loss sad heartbreak
Dil Ko Maine Di Kasam,Various,Aatish,1994,sad,heart I gave oath love pain sad
Nasha,Various,Nasha,2013,romantic,intoxication love beautiful feelings deep romance
Aafreen Aafreen Classic,Nusrat Fateh Ali Khan,Aafreen,1992,romantic,blessed beautiful love divine classic romance
Mere Yaar Ki Shaadi Hai,Various,Mere Yaar Ki Shaadi Hai,2002,happy,friend wedding celebration fun cheerful happy
Aaye Ho Meri Zindagi Mein,Udit Narayan,Raja Hindustani,1996,romantic,came into my life love beautiful feelings romance
Pardesi Pardesi,Various,Raja Hindustani,1996,sad,stranger stranger love pain separation sad
Kitni Akeli Kitni Tanha,Various,Raja Hindustani,1996,sad,alone lonely love pain sad missing
